Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Casey Rabach,C,Wisconsin,,4-Jun,298,5.23,,19,,,,Baltimore Ravens / 3rd / 92nd pick / 2001
Dominic Raiola,C,Nebraska,College Stats,2-Jun,307,5.13,33,29,108,7.55,4.35,Detroit Lions / 2nd / 50th pick / 2001
Ken-Yon Rambo,WR,Ohio State,College Stats,1-Jun,196,4.34,,,,,,Oakland Raiders / 7th / 229th pick / 2001
Josh Redding,OG,Virginia Tech,,4-Jun,317,5.47,27,31,97,7.85,4.8,
Ray Redziniak,OG,Illinois,,3-Jun,296,5.5,27,32,92,8.17,4.77,
Jamal Reynolds,DE,Florida State,College Stats,3-Jun,267,4.72,,,,,,Green Bay Packers / 1st / 10th pick / 2001
Jamie Rheem,K,Kansas State,College Stats,1-Jun,192,,,,,,,
Karon Riley,DE,Minnesota,College Stats,2-Jun,264,4.75,,,,,,Chicago Bears / 4th / 103rd pick / 2001
David Rivers,QB,West. Carolina,,3-Jun,223,4.73,31.5,,115,7.37,4.2,
Marcellus Rivers,TE,Oklahoma State,College Stats,4-Jun,247,4.84,32.5,7,113,7.04,4.25,
Mike Roberg,TE,Idaho,College Stats,4-Jun,256,4.75,34.5,16,117,7.28,4.4,Carolina Panthers / 7th / 227th pick / 2001
Bernard Robertson,OG,Tulane,,3-Jun,308,5.24,30,19,106,8.06,4.58,Chicago Bears / 5th / 138th pick / 2001
Koren Robinson,WR,North Carolina State,College Stats,1-Jun,211,4.61,,,,,,Seattle Seahawks / 1st / 9th pick / 2001
Kendrick Rogers,OT,Central Missouri State,,5-Jun,311,5.16,,23,,,,
Shaun Rogers,DT,Texas,,4-Jun,320,5.28,,,,,,Detroit Lions / 2nd / 61st pick / 2001
Sage Rosenfels,QB,Iowa State,College Stats,4-Jun,228,4.74,34,,107,7.07,4.29,Washington Redskins / 4th / 109th pick / 2001
Jace Sayler,DT,Michigan State,,5-Jun,294,5.06,31,29,105,7.81,4.59,
John Schlecht,DT,Minnesota,,Jun-00,295,4.95,31.5,27,101,7.45,4.3,
Aaron Schobel,DE,TCU,College Stats,4-Jun,263,4.75,38,,119,7.16,4.03,Buffalo Bills / 2nd / 46th pick / 2001
Carey Scott,CB,Kentucky State,,11-May,208,4.65,30,,113,7.52,4.18,Minnesota Vikings / 6th / 189th pick / 2001
Cedric Scott,DE,Southern Miss,College Stats,6-Jun,281,4.86,35.5,23,107,7.67,4.37,New York Giants / 4th / 114th pick / 2001
Anthony Sessions,OLB,Tennessee,,Jun-00,228,4.8,,19,,,,
Roland Seymour,DE,Florida State,,3-Jun,250,4.75,,,,,,
Richard Seymour,DT,Georgia,,6-Jun,299,4.95,,,,,,New England Patriots / 1st / 6th pick / 2001
Marcel Shipp,RB,Massachusetts,,11-May,222,4.71,32.5,18,115,,,
Elliot Silvers,OT,Washington,,7-Jun,348,5.43,31.5,19,99,7.81,4.66,San Diego Chargers / 5th / 132nd pick / 2001
Rickie Simpkins,DT,Syracuse,,3-Jun,287,5.28,29.5,,97,7.65,4.52,
Dwight Smith,CB,Akron,College Stats,10-May,212,4.51,33.5,15,114,,,Tampa Bay Buccaneers / 3rd / 84th pick / 2001
Justin Smith,DE,Missouri,College Stats,4-Jun,267,4.64,34,26,117,,,Cincinnati Bengals / 1st / 4th pick / 2001
Kenny Smith,DT,Alabama,College Stats,3-Jun,299,5.24,30,,100,8,4.8,New Orleans Saints / 3rd / 81st pick / 2001
Omar Smith,OG,Kentucky,,2-Jun,293,5.33,30,21,98,,,
Steve Smith,WR,Utah,College Stats,9-May,184,4.41,38.5,,121,7.44,4.25,Carolina Panthers / 3rd / 74th pick / 2001
Fred Smoot,CB,Mississippi State,College Stats,11-May,172,4.48,,,,,,Washington Redskins / 2nd / 45th pick / 2001
Brandon Spoon,ILB,North Carolina,,2-Jun,245,4.75,35.5,33,110,7.3,4.15,Buffalo Bills / 4th / 110th pick / 2001
Markus Steele,OLB,USC,,3-Jun,232,4.62,33,,119,7.15,4.5,Dallas Cowboys / 4th / 122nd pick / 2001
Kevin Stemke,P,Wisconsin,College Stats,2-Jun,187,,,,,,,
Russell Stewart,TE,Stanford,College Stats,4-Jun,251,4.92,28.5,17,106,7.46,4.3,
Daleroy Stewart,DT,Southern Miss,,3-Jun,309,4.9,33,,110,7.75,4.72,Dallas Cowboys / 6th / 171st pick / 2001
Tony Stewart,TE,Penn State,College Stats,5-Jun,256,4.96,35.5,,109,7.3,4.4,Philadelphia Eagles / 5th / 147th pick / 2001
Kris Stockton,K,Texas,College Stats,9-May,189,,,,,,,
Michael Stone,CB,Memphis,College Stats,11-May,191,4.51,41,17,127,,,Arizona Cardinals / 2nd / 54th pick / 2001
Marcus Stroud,DT,Georgia,,6-Jun,321,5.13,30,21,110,8.07,4.72,Jacksonville Jaguars / 1st / 13th pick / 2001
Tim Stuber,OG,Colorado State,,5-Jun,315,5.6,28,22,96,8.06,4.75,
Dan Stultz,K,Ohio State,College Stats,11-May,207,,,,,,,
Alex Sulfsted,OG,Miami (OH),,4-Jun,312,5.3,30.5,,96,,,Kansas City Chiefs / 6th / 176th pick / 2001
Marques Sullivan,OT,Illinois,,5-Jun,338,5.32,30.5,28,98,8.36,4.8,Buffalo Bills / 5th / 144th pick / 2001
Vinny Sutherland,WR,Purdue,College Stats,9-May,192,4.48,,,,,,Atlanta Falcons / 5th / 136th pick / 2001
Joe Tafoya,DE,Arizona,,4-Jun,269,4.91,33,28,111,7.65,4.4,Tampa Bay Buccaneers / 7th / 234th pick / 2001
Chris Taylor,WR,Texas A&M,College Stats,11-May,183,4.4,35.5,,115,6.81,3.93,Pittsburgh Steelers / 7th / 218th pick / 2001
David Terrell,WR,Michigan,College Stats,3-Jun,213,4.43,,,,,,Chicago Bears / 1st / 8th pick / 2001
Clevan Thomas,CB,Florida State,College Stats,9-May,189,4.64,36,,118,7.42,4.24,
Tarlos Thomas,OT,Florida State,,5-Jun,336,5.52,25,19,92,8.6,4.9,
Anthony Thomas,RB,Michigan,College Stats,2-Jun,229,4.58,32.5,20,115,7.48,4.44,Chicago Bears / 2nd / 38th pick / 2001
LaDainian Tomlinson,RB,TCU,College Stats,10-May,221,4.46,40.5,18,124,6.84,4.21,San Diego Chargers / 1st / 5th pick / 2001
Ja'Mar Toombs,FB,Texas A&M,College Stats,Jun-00,281,4.72,,17,,,,
Paul Toviessi,DE,Marshall,College Stats,6-Jun,260,4.78,33.5,,120,7.06,4.32,Denver Broncos / 2nd / 51st pick / 2001
Albert Traylor,OG,NW State (LA),,3-Jun,307,5.42,27,20,96,8.34,,
Marques Tuiasosopo,QB,Washington,College Stats,1-Jun,223,4.71,35.5,,115,7.36,4.35,Oakland Raiders / 2nd / 59th pick / 2001
T.J. Turner,ILB,Michigan State,,3-Jun,273,4.8,,,,,,New England Patriots / 7th / 239th pick / 2001
Chris Valletta,OG,Texas A&M,,3-Jun,299,5.32,33.5,18,98,7.9,4.53,
Patrick Venzke,OT,Idaho,,6-Jun,303,5.28,34,,103,8.08,4.59,
Michael Vick,QB,Virginia Tech,College Stats,Jun-00,210,4.33,,,,,,Atlanta Falcons / 1st / 1st pick / 2001
Keydrick Vincent,OG,Mississippi,,5-Jun,328,5.61,32.5,23,94,,,
Fred Wakefield,DE,Illinois,College Stats,7-Jun,287,5.09,29,26,108,7.49,4.64,
Kenyatta Walker,OT,Florida,,5-Jun,311,5.17,31.5,24,109,7.7,4.6,Tampa Bay Buccaneers / 1st / 14th pick / 2001
Raymond Walls,CB,Southern Miss,College Stats,11-May,176,4.51,39,,124,,4.18,Indianapolis Colts / 5th / 152nd pick / 2001
Chad Ward,OG,Washington,,4-Jun,321,5.23,32.5,26,99,7.98,4.9,Jacksonville Jaguars / 6th / 170th pick / 2001
David Warren,DE,Florida State,College Stats,2-Jun,253,4.73,,21,,7.53,4.46,
Gerard Warren,DT,Florida,,4-Jun,325,5,,,,,,Cleveland Browns / 1st / 3rd pick / 2001
Reggie Wayne,WR,Miami (FL),College Stats,Jun-00,198,4.45,,,,,,Indianapolis Colts / 1st / 30th pick / 2001
Chris Weinke,QB,Florida State,College Stats,4-Jun,226,5.2,,,,,,Carolina Panthers / 4th / 106th pick / 2001
Eric Westmoreland,OLB,Tennessee,College Stats,Jun-00,236,4.63,36.5,21,115,7.47,4.21,Jacksonville Jaguars / 3rd / 73rd pick / 2001
Emile White,S,Houston,College Stats,Jun-00,219,4.68,34.5,16,111,7.26,,
Reggie White,RB,Oklahoma State,College Stats,Jun-00,228,4.58,37.5,17,114,7.48,4.4,
James Whitley,CB,Michigan,College Stats,10-May,193,4.73,39,9,118,7.04,4.4,
Boo Williams,TE,Arkansas,College Stats,4-Jun,237,4.72,35.5,,119,7.1,4.33,
Brock Williams,CB,Notre Dame,College Stats,10-May,183,4.46,42.5,11,130,6.7,4.21,New England Patriots / 3rd / 86th pick / 2001
Jimmy Williams,CB,Vanderbilt,College Stats,10-May,188,4.58,36,,120,7.12,,Buffalo Bills / 6th / 196th pick / 2001
Louis Williams,OG,LSU,,4-Jun,299,5.48,28.5,25,103,7.86,4.67,Carolina Panthers / 7th / 211th pick / 2001
Marcus Williams,WR,Washington State,College Stats,5-Jun,230,4.56,41,,130,7.37,4.2,
Maurice Williams,OT,Michigan,,5-Jun,304,5.2,,24,,,,Jacksonville Jaguars / 2nd / 43rd pick / 2001
Cedrick Wilson,WR,Tennessee,College Stats,10-May,179,4.48,38,,123,,,San Francisco 49ers / 6th / 169th pick / 2001
Jamie Winborn,ILB,Vanderbilt,,11-May,229,4.63,35.5,,111,,,San Francisco 49ers / 2nd / 47th pick / 2001
Brandon Winey,OT,LSU,,6-Jun,301,5.3,,,,,,Miami Dolphins / 6th / 164th pick / 2001
Pork Chop Womack,OG,Mississippi State,,4-Jun,345,5.51,29.5,23,97,8.78,4.96,
Shawn Worthen,DT,TCU,,1-Jun,310,5.18,30,23,103,7.5,4.61,Minnesota Vikings / 4th / 130th pick / 2001
Ellis Wyms,DE,Mississippi State,College Stats,3-Jun,285,4.97,28,,103,7.71,4.47,Tampa Bay Buccaneers / 6th / 183rd pick / 2001
Paul Zukauskas,OG,Boston Col.,College Stats,5-Jun,307,5.3,,22,,,,Cleveland Browns / 7th / 203rd pick / 2001
